index,depth_bin,sum_root_length,rld,x_location,y_location
0,"(-0.001, 0.1]",0.0,0.0,0.1,0.3
1,"(0.1, 0.2]",446.79046347,0.1116976158675,0.1,0.3
2,"(0.2, 0.3]",674.39688935,0.16859922233750002,0.1,0.3
3,"(0.3, 0.4]",520.54839952,0.13013709988,0.1,0.3
4,"(0.4, 0.5]",566.78827962,0.141697069905,0.1,0.3
5,"(0.5, 0.6]",286.26959844000004,0.07156739961000001,0.1,0.3
6,"(0.6, 0.7]",364.78148183,0.09119537045750001,0.1,0.3
7,"(0.7, 0.8]",120.11828175000001,0.030029570437500003,0.1,0.3
8,"(0.8, 0.9]",339.96780438999997,0.08499195109749999,0.1,0.3
9,"(0.9, 1.0]",202.28935501,0.0505723387525,0.1,0.3
10,"(1.0, 1.1]",221.31592665,0.0553289816625,0.1,0.3
11,"(1.1, 1.2]",185.17291802,0.046293229505,0.1,0.3
12,"(1.2, 1.3]",147.97370046,0.036993425115,0.1,0.3
13,"(1.3, 1.4]",123.32616432,0.03083154108,0.1,0.3
14,"(1.4, 1.5]",46.936109370000004,0.011734027342500002,0.1,0.3
15,"(1.5, 1.6]",142.12823818,0.035532059545,0.1,0.3
16,"(1.6, 1.7]",186.20087797,0.046550219492499996,0.1,0.3
17,"(1.7, 1.8]",117.89084633,0.029472711582500002,0.1,0.3
18,"(1.8, 1.9]",45.458598650000006,0.011364649662500002,0.1,0.3
19,"(1.9, 2.0]",112.35202297,0.028088005742499998,0.1,0.3
20,"(2.0, 2.1]",159.18156578,0.039795391445,0.1,0.3
21,"(2.1, 2.2]",131.41764691,0.0328544117275,0.1,0.3
22,"(2.2, 2.3]",103.07050059000001,0.0257676251475,0.1,0.3
23,"(2.3, 2.4]",20.2052021,0.005051300525,0.1,0.3
24,"(2.4, 2.5]",37.4517071,0.009362926775,0.1,0.3
25,"(2.5, 2.6]",46.92692154,0.011731730385,0.1,0.3
26,"(2.6, 2.7]",47.8503147,0.011962578675,0.1,0.3
27,"(2.7, 2.8]",113.55142213,0.028387855532500002,0.1,0.3
28,"(2.8, 2.9]",0.0,0.0,0.1,0.3
29,"(2.9, 3.0]",0.0,0.0,0.1,0.3
30,"(3.0, 3.1]",36.529499040000005,0.00913237476,0.1,0.3
31,"(3.1, 3.2]",69.50202415999999,0.01737550604,0.1,0.3
32,"(3.2, 3.3]",22.014651399999998,0.0055036628499999995,0.1,0.3
33,"(3.3, 3.4]",65.25792862,0.016314482155,0.1,0.3
34,"(3.4, 3.5]",52.385580759999996,0.013096395189999999,0.1,0.3
35,"(3.5, 3.6]",0.0,0.0,0.1,0.3
36,"(3.6, 3.7]",46.00161629,0.0115004040725,0.1,0.3
37,"(3.7, 3.8]",0.0,0.0,0.1,0.3
38,"(3.8, 3.9]",0.0,0.0,0.1,0.3
39,"(3.9, 4.0]",0.0,0.0,0.1,0.3
40,"(4.0, 4.1]",0.0,0.0,0.1,0.3
41,"(4.1, 4.2]",0.0,0.0,0.1,0.3
42,"(4.2, 4.3]",0.0,0.0,0.1,0.3
43,"(4.3, 4.4]",0.0,0.0,0.1,0.3
44,"(4.4, 4.5]",0.0,0.0,0.1,0.3
45,"(4.5, 4.6]",0.0,0.0,0.1,0.3
46,"(4.6, 4.7]",0.0,0.0,0.1,0.3
47,"(-0.001, 0.1]",0.0,0.0,0.1,0.9
48,"(0.1, 0.2]",0.0,0.0,0.1,0.9
49,"(0.2, 0.3]",0.0,0.0,0.1,0.9
50,"(0.3, 0.4]",407.11533084000007,0.10177883271000002,0.1,0.9
